"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_END_ID","ILS_LOC_ID","SYSTEM_TYPE_CODE","STATE_NAME","REGION_CODE","RWY_LEN","RWY_WIDTH","CATEGORY","OWNER","OPERATOR","APCH_BEAR","MAG_VAR","MAG_VAR_HEMIS","COMPONENT_STATUS","COMPONENT_STATUS_DATE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","LAT_LONG_SOURCE_CODE","SITE_ELEVATION","LOC_FREQ","BK_COURSE_STATUS_CODE","File","Action","Mods"
"2026/04/16","01886.","A","CA","MCE","MERCED","US","30","MCE","LD","CALIFORNIA","AWP","5914","150","I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.","303.5","15","E","OPERATIONAL IFR","1973/06/14","37","17","32.8593","N","37.29246091","120","31","20.8867","W","-120.52246852","K","153.2","109.3","Y","1","Modified","COMPONENT_STATUS COMPONENT_STATUS_DATE"
"2026/05/14","01886.","A","CA","MCE","MERCED","US","30","MCE","LD","CALIFORNIA","AWP","5914","150","I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.","303.5","15","E","OPERATIONAL RESTRICTED","2026/03/16","37","17","32.8593","N","37.29246091","120","31","20.8867","W","-120.52246852","K","153.2","109.3","Y","2","Modified","COMPONENT_STATUS COMPONENT_STATUS_DATE"
"2026/04/16","02089.","A","CA","RDD","REDDING","US","34","RDD","LD","CALIFORNIA","AWP","7003","150","I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.","346.07","14","E","OPERATIONAL RESTRICTED","2018/02/13","40","31","23.0403","N","40.52306675","122","17","41.4591","W","-122.29484975","T","508","108.7","R","2","Deleted",""
"2026/04/16","03001.","A","DC","DCA","WASHINGTON","US","19","ASO","DD","DIST. OF COLUMBIA","AEA","7169","150","I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.","149","11","W","OPERATIONAL RESTRICTED","2018/02/06","38","51","34.6985","N","38.85963847","77","2","12.397","W","-77.03677694","K","12.9","109.9","","2","Deleted",""
"2026/04/16","03992.","A","GA","SAV","SAVANNAH","US","01","TPV","LS","GEORGIA","ASO","7002","150","I","F-FEDERAL AVIATION ADMINISTRATION","F-FEDERAL AVIATION ADMINISTRATION","5.63","6","W","OPERATIONAL RESTRICTED","2018/02/07","32","8","24.2723","N","32.14007563","81","12","0.625","W","-81.20017361","T","31","111.9","","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL LAT_LONG_SOURCE_CODE"
"2026/05/14","03992.","A","GA","SAV","SAVANNAH","US","01","TPV","LS","GEORGIA","ASO","7002","150","I","F-FEDERAL AVIATION ADMINISTRATION","F-FEDERAL AVIATION ADMINISTRATION","5.63","6","W","OPERATIONAL RESTRICTED","2018/02/07","32","8","24.27","N","32.140075","81","12","0.62","W","-81.20017222","F","31","111.9","","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL LAT_LONG_SOURCE_CODE"
"2026/04/16","07739.","A","LA","DTN","SHREVEPORT","US","14","DTN","LE","LOUISIANA","ASW","5016","150","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","136.89","1","E","OPERATIONAL IFR","1975/09/25","32","32","13.5957","N","32.53710991","93","44","26.0867","W","-93.74057963","T","177.3","111.7","","1","Modified","RWY_LEN RWY_WIDTH LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL SITE_ELEVATION"
"2026/05/14","07739.","A","LA","DTN","SHREVEPORT","US","14","DTN","LE","LOUISIANA","ASW","5017","100","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","136.89","1","E","OPERATIONAL IFR","1975/09/25","32","32","13.596","N","32.53711","93","44","26.0875","W","-93.74057986","T","177.4","111.7","","2","Modified","RWY_LEN RWY_WIDTH LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL SITE_ELEVATION"
"2026/04/16","09112.","A","MA","EWB","NEW BEDFORD","US","05","EWB","LD","MASSACHUSETTS","ANE","5400","150","I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.","54","16","W","OPERATIONAL RESTRICTED","2001/02/05","41","41","3.1585","N","41.68421069","70","57","4.5182","W","-70.95125505","T","91.4","109.7","R","1","Modified","APCH_BEAR"
"2026/05/14","09112.","A","MA","EWB","NEW BEDFORD","US","05","EWB","LD","MASSACHUSETTS","ANE","5400","150","I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.","54.44","16","W","OPERATIONAL RESTRICTED","2001/02/05","41","41","3.1585","N","41.68421069","70","57","4.5182","W","-70.95125505","T","91.4","109.7","R","2","Modified","APCH_BEAR"
"2026/04/16","14366.","A","NJ","TTN","TRENTON","US","06","TTN","LS","NEW JERSEY","AEA","6006","150","I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.","58.48","12","W","OPERATIONAL IFR","1985/06/06","40","16","56.131","N","40.28225861","74","48","15.784","W","-74.80438444","F","181.3","111.3","N","1","Modified","APCH_BEAR"
"2026/05/14","14366.","A","NJ","TTN","TRENTON","US","06","TTN","LS","NEW JERSEY","AEA","6006","150","I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.","58.47","12","W","OPERATIONAL IFR","1985/06/06","40","16","56.131","N","40.28225861","74","48","15.784","W","-74.80438444","F","181.3","111.3","N","2","Modified","APCH_BEAR"
"2026/04/16","16608.","A","NC","CLT","CHARLOTTE","US","18R","RGS","LD","NORTH CAROLINA","ASO","9000","150","IIIB","O-CITY OF CHARLOTTE, NC","F-FEDERAL AVIATION ADMINISTRATION","182.96","7","W","OPERATIONAL IFR","2010/01/04","35","11","51.8409","N","35.19773358","80","57","54.1724","W","-80.96504788","T","738","110.15","","2","Deleted",""
"2026/04/16","16608.","A","NC","CLT","CHARLOTTE","US","36L","XUU","LD","NORTH CAROLINA","ASO","9000","150","III","O-CITY OF CHARLOTTE, NC","F-FEDERAL AVIATION ADMINISTRATION","2.96","7","W","OPERATIONAL IFR","2010/01/04","35","13","41.4064","N","35.22816844","80","58","3.6024","W","-80.96766733","T","748","110.15","","2","Deleted",""
"2026/04/16","17190.","A","NC","OCW","WASHINGTON","US","05","OCW","LE","NORTH CAROLINA","ASO","5000","100","","O-WARREN FIELD ARPT COM","O-WARREN FIELD ARPT COM","44.77","8","W","OPERATIONAL IFR","1989/12/14","35","34","42.1271","N","35.57836863","77","2","44.6629","W","-77.04573969","T","33.5","110.9","","1","Modified","CATEGORY APCH_BEAR LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL SITE_ELEVATION"
"2026/05/14","17190.","A","NC","OCW","WASHINGTON","US","05","OCW","LE","NORTH CAROLINA","ASO","5000","100","I","O-WARREN FIELD ARPT COM","O-WARREN FIELD ARPT COM","44.76","8","W","OPERATIONAL IFR","1989/12/14","35","34","42.1294","N","35.57836927","77","2","44.6557","W","-77.04573769","T","33.9","110.9","","2","Modified","CATEGORY APCH_BEAR LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL SITE_ELEVATION"
"2026/04/16","25876.1","A","VA","MTV","MARTINSVILLE","US","31","UVM","LE","VIRGINIA","AEA","5002","100","I","O-COMMONWEALTH OF VIRGINIA","O-COMMONWEALTH OF VIRGINIA","305.2","7","W","OPERATIONAL IFR","1986/02/13","36","38","7.0763","N","36.63529897","80","1","43.8953","W","-80.0288598","T","942.8","111.3","","1","Modified","RWY_LEN"
"2026/05/14","25876.1","A","VA","MTV","MARTINSVILLE","US","31","UVM","LE","VIRGINIA","AEA","6077","100","I","O-COMMONWEALTH OF VIRGINIA","O-COMMONWEALTH OF VIRGINIA","305.2","7","W","OPERATIONAL IFR","1986/02/13","36","38","7.0763","N","36.63529897","80","1","43.8953","W","-80.0288598","T","942.8","111.3","","2","Modified","RWY_LEN"
"2026/04/16","27234.","A","WI","GRB","GREEN BAY","US","06","GRB","LD","WISCONSIN","AGL","7700","150","I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.","61.91","2","W","OPERATIONAL IFR","1966/11/18","44","29","39.8449","N","44.49440136","88","6","33.141","W","-88.10920583","T","681.4","109.5","Y","1","Modified","BK_COURSE_STATUS_CODE"
"2026/05/14","27234.","A","WI","GRB","GREEN BAY","US","06","GRB","LD","WISCONSIN","AGL","7700","150","I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.","61.91","2","W","OPERATIONAL IFR","1966/11/18","44","29","39.8449","N","44.49440136","88","6","33.141","W","-88.10920583","T","681.4","109.5","R","2","Modified","BK_COURSE_STATUS_CODE"
"2026/05/14","02089.","A","CA","RDD","REDDING","US","35","RDD","LD","CALIFORNIA","AWP","7003","150","I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.","346.07","14","E","OPERATIONAL RESTRICTED","2018/02/13","40","31","23.0403","N","40.52306675","122","17","41.4591","W","-122.29484975","T","508","108.7","R","2","Added",""
"2026/05/14","16608.","A","NC","CLT","CHARLOTTE","US","01L","XUU","LD","NORTH CAROLINA","ASO","9000","150","III","O-CITY OF CHARLOTTE, NC","F-FEDERAL AVIATION ADMINISTRATION","2.96","7","W","OPERATIONAL IFR","2010/01/04","35","13","41.4064","N","35.22816844","80","58","3.6024","W","-80.96766733","T","748","110.15","","2","Added",""
"2026/05/14","16608.","A","NC","CLT","CHARLOTTE","US","19R","RGS","LD","NORTH CAROLINA","ASO","9000","150","IIIB","O-CITY OF CHARLOTTE, NC","F-FEDERAL AVIATION ADMINISTRATION","182.96","7","W","OPERATIONAL IFR","2010/01/04","35","11","51.8409","N","35.19773358","80","57","54.1724","W","-80.96504788","T","738","110.15","","2","Added",""
