"EFF_DATE","NAV_ID","NAV_TYPE","STATE_CODE","CITY","COUNTRY_CODE","TAB_NAME","REF_COL_NAME","REF_COL_SEQ_NO","REMARK","File","Action","Mods"
"2026/04/16","BZM","VOR/DME","NC","HICKORY","US","NAVIGATION_AID","GENERAL_REMARK","1","VOR UNUSBL 030-040 BYD 15 NM BLW 8500 FT; 107-117 BYD 30 NM.","1","Modified","REMARK"
"2026/05/14","BZM","VOR/DME","NC","HICKORY","US","NAVIGATION_AID","GENERAL_REMARK","1","VOR UNUSBL 020-025 BYD 40 NM; 030-040 BYD 15 NM BLW 8500 FT; 107-117 BYD 30 NM; 300-305 BYD 54 NM; 335-340 BYD 40 NM.","2","Modified","REMARK"
"2026/04/16","CCV","VORTAC","VA","CAPE CHARLES","US","NAVIGATION_AID","GENERAL_REMARK","1","TACAN AZM UNUSBL 005-015 BYD 20 NM BLW 4000 FT.","2","Deleted",""
"2026/04/16","CCV","VORTAC","VA","CAPE CHARLES","US","NAVIGATION_AID","GENERAL_REMARK","2","VOR UNUSBL 137-322 BYD 17 NM BLW 2000 FT, 137-322 BYD 22 NM BLW 3000 FT.","2","Deleted",""
"2026/04/16","CCV","VORTAC","VA","CAPE CHARLES","US","NAVIGATION_AID","GENERAL_REMARK","3","DME UNUSBL 005-015 BYD 20 NM BLW 4000 FT.","2","Deleted",""
"2026/04/16","CKV","VOR/DME","TN","CLARKSVILLE","US","NAVIGATION_AID","GENERAL_REMARK","1","VOR PORTION UNUSBL 090-110 BYD 20 NM.","1","Modified","REMARK"
"2026/05/14","CKV","VOR/DME","TN","CLARKSVILLE","US","NAVIGATION_AID","GENERAL_REMARK","1","VOR UNUSBL 090-110 BYD 20 NM; 245-260 BYD 10 NM BLW 5000 FT; 265-285 BYD 10 NM; 265-285 BLW 5000 FT.","2","Modified","REMARK"
"2026/04/16","CVE","VOR/DME","TX","DALLAS","US","NAVIGATION_AID","GENERAL_REMARK","1","VOR UNUSBL 030-035 BYD 40 NM; 055-060 BYD 40 NM; 130-140 BYD 40 NM.","1","Modified","REMARK"
"2026/05/14","CVE","VOR/DME","TX","DALLAS","US","NAVIGATION_AID","GENERAL_REMARK","1","VOR UNUSBL 055-057 BYD 57 NM BLW 7500 FT; 131-137 BYD 38 NM.","2","Modified","REMARK"
"2026/04/16","EMI","VORTAC","MD","WESTMINSTER","US","NAVIGATION_AID","GENERAL_REMARK","4","VOR UNUSBL 009-056 BYD 40 NM; 128-161 BYD 20 NM BLW 6500 FT; 221-231 BLW 4500 FT; 221-231 BYD 13 NM BLW 16000 FT; 284-294 BYD 40 NM; 295-334 BLW 5500 FT.","1","Modified","REMARK"
"2026/05/14","EMI","VORTAC","MD","WESTMINSTER","US","NAVIGATION_AID","GENERAL_REMARK","4","VOR UNUSBL 009-056 BYD 40 NM; 128-161 BYD 20 NM BLW 6500 FT; 221-231 BLW 4500 FT; 221-231 BYD 13 NM BLW 16000 FT; 241-251; 271-286; 286-294 BYD 40 NM; 295-334 BLW 5500 FT.","2","Modified","REMARK"
"2026/04/16","EMI","VORTAC","MD","WESTMINSTER","US","NAVIGATION_AID","GENERAL_REMARK","5","TACAN AZM UNUSBL 281-055 BYD 35 NM BLW 3000 FT.","1","Modified","REMARK"
"2026/05/14","EMI","VORTAC","MD","WESTMINSTER","US","NAVIGATION_AID","GENERAL_REMARK","5","TACAN AZM UNUSBL 030-055; 241-251; 281-030 BYD 35 NM BLW 3000 FT.","2","Modified","REMARK"
"2026/04/16","EMI","VORTAC","MD","WESTMINSTER","US","NAVIGATION_AID","GENERAL_REMARK","6","DME UNUSBL 281-055 BYD 35 NM BLW 3000 FT.","1","Modified","REMARK"
"2026/05/14","EMI","VORTAC","MD","WESTMINSTER","US","NAVIGATION_AID","GENERAL_REMARK","6","DME UNUSBL 030-055; 241-251; 281-030 BYD 35 NM BLW 3000 FT.","2","Modified","REMARK"
"2026/04/16","GLR","VOR/DME","MI","GAYLORD","US","NAVIGATION_AID","GENERAL_REMARK","2","DME UNUSBL BYD 30 NM BLW 3500 FT.","2","Deleted",""
"2026/04/16","GLR","VOR/DME","MI","GAYLORD","US","NAVIGATION_AID","GENERAL_REMARK","3","VOR UNUSBL 182-195 BYD 19 NM WI 21 NM.","2","Deleted",""
"2026/04/16","GNV","VORTAC","FL","GAINESVILLE","US","NAVIGATION_AID","GENERAL_REMARK","1","VOR UNUSBL 295-320 BYD 25 NM BLW 3000 FT.","1","Modified","REMARK"
"2026/05/14","GNV","VORTAC","FL","GAINESVILLE","US","NAVIGATION_AID","GENERAL_REMARK","1","VOR UNUSBL 140-160 BYD 40 NM; 175-180 BYD 40 NM; 245-252 BYD 40 NM; 253-263 BYD 40 NM BLW 6000 FT; 264-302 BYD 40 NM; 295-320 BYD 25 NM BLW 3000 FT; 303-313 BYD 47 NM; 314-320 BYD 40 NM.","2","Modified","REMARK"
"2026/04/16","HNL","VORTAC","HI","HONOLULU","US","NAVIGATION_AID","GENERAL_REMARK","1","TACAN AZM AND DME UNUSBL 055-085 BYD 15 NM BLO 7000 FT. 251-260 BYD 20 NM BLO 2200 FT, 261-280 BYD 20 NM BLO 3000 FT, 281-305 BYD 20 NM BLO 7500 FT, 306-330 BYD 30 NM BLO 7500 FT, 331-340 BYD 32 NM BLO 5500 FT, 360-055 BYD 15 NM BLO 6000 FT, 360-085 BYD 25 NM BLO 8000 FT, 360-085 BYD 30 NM BLO 12000 FT.","1","Modified","REMARK"
"2026/05/14","HNL","VORTAC","HI","HONOLULU","US","NAVIGATION_AID","GENERAL_REMARK","1","TACAN AZM UNUSBL 000-055 BYD 15 NM BLW 6000 FT; 000-085 BYD 25 NM BLW 8000 FT; 000-085 BYD 30 NM BLW 12000 FT; 055-085 BYD 15 NM BLW 7000 FT; 251-260 BYD 20 NM BLW 2200 FT; 261-280 BYD 20 NM BLW 3000 FT; 281-305 BYD 20 NM BLW 7500 FT; 306-330 BYD 30 NM BLW 7500 FT; 331-340 BYD 32 NM BLW 5500 FT.","2","Modified","REMARK"
"2026/04/16","HNL","VORTAC","HI","HONOLULU","US","NAVIGATION_AID","GENERAL_REMARK","2","VOR UNUSBL 055-085 BYD 15 NM BLO 7000 FT, 100-115 BYD 30 NM BLO 4000 FT, 120-140 BYD 35 NM BLO 5000 FT, 170-210 BYD 20 NM BLO 3000 FT, 240- 250 BYD 30 NM BLO 3000 FT, 241- 250 BYD 35 NM BLO 4000 FT, 251-260 BYD 20 NM BLO 2200 FT, 261-280 BYD 20 NM BLO 3000 FT, 281-305 BYD 20 NM BLO 7500 FT, 306-330 BYD 30 NM BLO 7500 FT, 331-340 BYD 32 NM BLO 5500 FT, 351-359 BYD 25 NM BLO 7500 FT, 360-055 BYD 15 NM BLO 6000 FT, 360-085 BYD 25 NM BLO 8000 FT, 360-085 BYD 30 NM BLO 12000 FT.","1","Modified","REMARK"
"2026/05/14","HNL","VORTAC","HI","HONOLULU","US","NAVIGATION_AID","GENERAL_REMARK","2","VOR UNUSBL 000-055 BYD 15 NM BLW 6000 FT; 000-085 BYD 25 NM BLW 8000 FT; 000-085 BYD 30 NM BLW 12000 FT; 055-085 BYD 15 NM BLW 7000 FT; 100-115 BYD 30 NM BLW 4000 FT; 120-140 BYD 35 NM BLW 5000 FT; 170-210 BYD 20 NM BLW 3000 FT; 210-220 BLW 3000 FT; 210-220 BYD 11 NM; 240-250 BYD 30 NM BLW 3000 FT; 241-250 BYD 35 NM BLW 4000 FT; 251-260 BYD 20 NM BLW 2200 FT; 261-280 BYD 20 NM BLW 3000 FT; 281-305 BYD 20 NM BLW 7500 FT; 306-330 BYD 30 NM BLW 7500 FT; 331-340 BYD 32 NM BLW 5500 FT; 351-359 BYD 25 NM BLW 7500 FT.","2","Modified","REMARK"
"2026/04/16","MAI","VORTAC","FL","MARIANNA","US","NAVIGATION_AID","GENERAL_REMARK","1","TAC AZM UNUSBL 261-276 BYD 25 NM BLW 3000 FT; 346-061 BYD 30 NM BLW 2000 FT. ","1","Modified","REMARK"
"2026/05/14","MAI","VORTAC","FL","MARIANNA","US","NAVIGATION_AID","GENERAL_REMARK","1","TACAN AZM UNUSBL 261-276 BYD 25 NM BLW 3000 FT; 346-061 BYD 30 NM BLW 2000 FT. ","2","Modified","REMARK"
"2026/04/16","MAI","VORTAC","FL","MARIANNA","US","NAVIGATION_AID","GENERAL_REMARK","3","VOR UNUSBL 209-347 BYD 40 NM; 261-276 BYD 25 NM BLW 3000 FT; 316-326 BYD 20 NM BLW 12500 FT; 346-061 BYD 30 NM BLW 2000 FT.","1","Modified","REMARK"
"2026/05/14","MAI","VORTAC","FL","MARIANNA","US","NAVIGATION_AID","GENERAL_REMARK","3","VOR UNUSBL 050-055 BYD 61 NM; 065-068 BYD 40 NM; 075-079 BYD 42 NM; 080-100 BYD 40 NM; 110-115 BYD 40 NM; 209-347 BYD 40 NM; 261-276 BYD 25 NM BLW 3000 FT; 316-326 BYD 20 NM BLW 12500 FT; 346-061 BYD 30 NM BLW 2000 FT.","2","Modified","REMARK"
"2026/04/16","MIE","VOR/DME","IN","MUNCIE","US","NAVIGATION_AID","GENERAL_REMARK","1","DME UNUSBL 280-300 BYD 10 NM BLW 5000 FT.","2","Deleted",""
"2026/04/16","MIE","VOR/DME","IN","MUNCIE","US","NAVIGATION_AID","GENERAL_REMARK","2","VOR UNUSBL 280-300 BYD 10 NM BLW 5000 FT.","2","Deleted",""
"2026/04/16","MQI","NDB","NC","MANTEO","US","NAVIGATION_AID","GENERAL_REMARK","1","NDB LOCATED 330' FROM APCH END RWY 34 AND 675' W OF CENTERLINE.","2","Deleted",""
"2026/04/16","MQI","NDB","NC","MANTEO","US","NAVIGATION_AID","GENERAL_REMARK","2","NDB UNMONITORED 1800-0800.","2","Deleted",""
"2026/04/16","PYX","NDB","TX","PERRYTON","US","NAVIGATION_AID","LAT_LONG_SOURCE_CODE","1","3RD PARTY SURVEY.","2","Deleted",""
"2026/04/16","RQZ","VORTAC","AL","HUNTSVILLE","US","NAVIGATION_AID","GENERAL_REMARK","1","TACAN AZM UNUSBL 000-024 BYD 20 NM BLW 4000 FT; 025-089 BYD 6 NM; 038-116 BYD 40 NM; 090-159 BYD 20 NM BLW 3500 FT; 308-315 BYD 8 NM; 316-359 BYD 20 NM BLW 3500 FT.","1","Modified","REMARK"
"2026/05/14","RQZ","VORTAC","AL","HUNTSVILLE","US","NAVIGATION_AID","GENERAL_REMARK","1","TACAN AZM UNUSBL 000-024 BYD 20 NM BLW 4000 FT; 025-089 BYD 6 NM; 038-116 BYD 40 NM; 090-159 BYD 20 NM BLW 3500 FT; 260-295 BYD 6NM; 308-315 BYD 8 NM; 316-359 BYD 20 NM BLW 3500 FT.","2","Modified","REMARK"
"2026/04/16","SAX","VORTAC","NJ","SPARTA","US","NAVIGATION_AID","GENERAL_REMARK","1","VOR UNUSBL 075-085 BLW 6500 FT; 155-165.","1","Modified","REMARK"
"2026/05/14","SAX","VORTAC","NJ","SPARTA","US","NAVIGATION_AID","GENERAL_REMARK","1","VOR UNUSBL 004-010 BYD 40 NM; 024-035 BYD 40 NM BLW 5500 FT; 024-035 BYD 55 NM BLW 11000 FT; 047-060 BYD 40 NM; 075-085 BLW 6500 FT; 076-089 BYD 50 NM; 126-136 BYD 40 NM; 153-154 BYD 40 NM; 155-165; 166-167 BYD 40 NM; 176-180 BYD 40 NM; 200-209 BYD 40 NM; 221-249 BYD 40 NM; 287-303 BYD 40 NM; 314-319 BYD 40 NM; 337-352 BYD 40 NM.","2","Modified","REMARK"
"2026/05/14","CCV","TACAN","VA","CAPE CHARLES","US","NAVIGATION_AID","GENERAL_REMARK","1","TACAN AZM UNUSBL 005-015 BYD 20 NM BLW 4000 FT.","2","Added",""
"2026/05/14","CCV","TACAN","VA","CAPE CHARLES","US","NAVIGATION_AID","GENERAL_REMARK","3","DME UNUSBL 005-015 BYD 20 NM BLW 4000 FT.","2","Added",""
"2026/05/14","CMI","VORTAC","IL","CHAMPAIGN/URBANA","US","NAVIGATION_AID","GENERAL_REMARK","1","VOR UNUSBL 105-115 BYD 40 NM; 195-220 BYD 40 NM.","2","Added",""
"2026/05/14","ELW","VORTAC","SC","ANDERSON","US","NAVIGATION_AID","GENERAL_REMARK","1","VOR UNUSBL 080-090 BYD 40 NM; 126-182 BYD 40 NM; 257-267 BYD 40 NM; 321-350 BYD 40 NM BLW 8000 FT; 351-009 BYD 40 NM.","2","Added",""
"2026/05/14","GLR","DME","MI","GAYLORD","US","NAVIGATION_AID","GENERAL_REMARK","2","DME UNUSBL BYD 30 NM BLW 3500 FT.","2","Added",""
"2026/05/14","HNL","VORTAC","HI","HONOLULU","US","NAVIGATION_AID","GENERAL_REMARK","3","DME UNUSBL 000-055 BYD 15 NM BLW 6000 FT; 000-085 BYD 25 NM BLW 8000 FT; 000-085 BYD 30 NM BLW 12000 FT; 055-085 BYD 15 NM BLW 7000 FT; 251-260 BYD 20 NM BLW 2200 FT; 261-280 BYD 20 NM BLW 3000 FT; 281-305 BYD 20 NM BLW 7500 FT; 306-330 BYD 30 NM BLW 7500 FT; 331-340 BYD 32 NM BLW 5500 FT.","2","Added",""
"2026/05/14","LIT","VORTAC","AR","LITTLE ROCK","US","NAVIGATION_AID","GENERAL_REMARK","4","VOR UNUSBL 250-252 BYD 40 NM BLW 18000 FT; 253-270 BYD 40 NM; 271-275 BYD 40 NM BLW 18000 FT.","2","Added",""
"2026/05/14","MIE","DME","IN","MUNCIE","US","NAVIGATION_AID","GENERAL_REMARK","1","DME UNUSBL 280-300 BYD 10 NM BLW 5000 FT.","2","Added",""
"2026/05/14","MVC","VORTAC","AL","MONROEVILLE","US","NAVIGATION_AID","GENERAL_REMARK","1","VOR UNUSBL 015-025 BYD 55 NM; 035-075 BYD 40 NM; 080-090 BYD 40 NM; 105-115 BYD 40 NM; 120-125 BYD 40 NM; 130-135 BYD 40 NM; 140-145 BYD 47 NM; 150-155 BYD 40 NM; 160-165 BYD 40 NM; 170-175 BYD 40 NM; 185-190 BYD 40 NM; 200-203 BYD 48 NM; 204-210 BYD 40 NM; 245-260 BYD 40 NM; 265-270 BYD 51 NM BLW 6500 FT; 271-275 BYD 40 NM; 285-290 BYD 40 NM; 315-320 BYD 40 NM; 355-360 BYD 40 NM.","2","Added",""
"2026/05/14","STJ","VORTAC","MO","ST JOSEPH","US","NAVIGATION_AID","GENERAL_REMARK","1","VOR UNUSBL 346-348 BYD 10 NM.","2","Added",""
"2026/05/14","XCR","NDB","MN","LITTLE FALLS","US","NAVIGATION_AID","GENERAL_REMARK","3","NDB OTS INDEFLY.","2","Added",""
