"EFF_DATE","FACILITY_ID","FACILITY_TYPE","STATE_CODE","COUNTRY_CODE","RADAR_TYPE","RADAR_NO","RADAR_HRS","REMARK"
"2026/05/14","ABE","AIRPORT","PA","US","ASR",1,"24",""
"2026/05/14","ABI","AIRPORT","TX","US","ASR",1,"24",""
"2026/05/14","ABQ","AIRPORT","NM","US","ASR",1,"24",""
"2026/05/14","ACK","AIRPORT","MA","US","ASR",1,"0600-2100",""
"2026/05/14","ACT","AIRPORT","TX","US","ASR",1,"0600-0000",""
"2026/05/14","ACY","AIRPORT","NJ","US","ASR",1,"24",""
"2026/05/14","ADW","AIRPORT","MD","US","ASR",1,"24",""
"2026/05/14","AGS","AIRPORT","GA","US","ASR",1,"0645-2300",""
"2026/05/14","ALB","AIRPORT","NY","US","ASR",1,"24",""
"2026/05/14","AMA","AIRPORT","TX","US","ASR",1,"0600-0000",""
"2026/05/14","ANC","AIRPORT","AK","US","ASR",1,"24",""
"2026/05/14","APN","AIRPORT","MI","US","ASR",1,"0800-1600 WKDAYS; EXCP HOLS",""
"2026/05/14","ASE","AIRPORT","CO","US","BCN",1,"0700-2000",""
"2026/05/14","ATL","AIRPORT","GA","US","ASR",1,"24",""
"2026/05/14","AUS","AIRPORT","TX","US","ASR",1,"24",""
"2026/05/14","AVL","AIRPORT","NC","US","ASR",1,"0630-2300",""
"2026/05/14","AVP","AIRPORT","PA","US","ASR",2,"24",""
"2026/05/14","AZO","AIRPORT","MI","US","ASR",1,"0600-2300",""
"2026/05/14","BAB","AIRPORT","CA","US","ASR",2,"24",""
"2026/05/14","BAB","AIRPORT","CA","US","PAR",3,"1800-2200Z++TUE-THUR.","(RADAR_TYPE) RADAR - PAR - NO NOTAM MP: 1500-1730Z++ MON-FRI."
"2026/05/14","BAD","AIRPORT","LA","US","ASR",1,"24",""
"2026/05/14","BAD","AIRPORT","LA","US","PAR",2,"0700-2300","(RADAR_TYPE) SEE TERMINAL FLIP FOR RADAR MINIMA."
"2026/05/14","BDL","AIRPORT","CT","US","ASR",1,"24",""
"2026/05/14","BFL","AIRPORT","CA","US","ASR",2,"0600-2300",""
"2026/05/14","BGM","AIRPORT","NY","US","ASR",1,"24",""
"2026/05/14","BGR","AIRPORT","ME","US","ASR",2,"24",""
"2026/05/14","BHM","AIRPORT","AL","US","ASR",1,"24",""
"2026/05/14","BIL","AIRPORT","MT","US","ASR",2,"24",""
"2026/05/14","BIS","AIRPORT","ND","US","ASR",1,"0600-2400",""
"2026/05/14","BLV","AIRPORT","IL","US","ASR",1,"24 HRS",""
"2026/05/14","BNA","AIRPORT","TN","US","ASR",1,"24",""
"2026/05/14","BOI","AIRPORT","ID","US","ASR",2,"24",""
"2026/05/14","BOS","AIRPORT","MA","US","ASR",1,"24",""
"2026/05/14","BPT","AIRPORT","TX","US","ASR",1,"0600-2200",""
"2026/05/14","BTR","AIRPORT","LA","US","ASR",1,"0500-0000",""
"2026/05/14","BTV","AIRPORT","VT","US","ASR",1,"24",""
"2026/05/14","BUF","AIRPORT","NY","US","ASR",1,"24",""
"2026/05/14","BUR","AIRPORT","CA","US","ASR",1,"24",""
"2026/05/14","BWI","AIRPORT","MD","US","ASR",1,"24",""
"2026/05/14","C90","TRACON","IL","US","ASR",1,"24",""
"2026/05/14","C90","TRACON","IL","US","ASR",2,"24",""
"2026/05/14","C90","TRACON","IL","US","ASR",3,"24",""
"2026/05/14","C90","TRACON","IL","US","ASR",4,"24",""
"2026/05/14","CAE","AIRPORT","SC","US","ASR",1,"24",""
"2026/05/14","CAK","AIRPORT","OH","US","ASR",1,"24",""
"2026/05/14","CBM","AIRPORT","MS","US","ASR",2,"ASR APCH SVC AVBL FOR EMERGENCY AND OT CONTIGENT UPON MANPOWER AND EQUIPMENT AVAILABILITY. SECONDARY ASR IS MSSR.","(RADAR_TYPE) MONOPULSE SECONDARY SURVEILLANCE RADAR (ASR/MSSR) SYSTEM."
"2026/05/14","CEF","AIRPORT","MA","US","ASR",1,"0700-2300",""
"2026/05/14","CHA","AIRPORT","TN","US","ASR",1,"0600-2350",""
"2026/05/14","CHO","AIRPORT","VA","US","ASR",1,"24",""
"2026/05/14","CHS","AIRPORT","SC","US","ASR",1,"24",""
"2026/05/14","CID","AIRPORT","IA","US","ASR",1,"0500-2330",""
"2026/05/14","CKB","AIRPORT","WV","US","ASR",1,"0700-2300",""
"2026/05/14","CLE","AIRPORT","OH","US","ASR",1,"24",""
"2026/05/14","CLT","AIRPORT","NC","US","ASR",1,"24",""
"2026/05/14","CMH","AIRPORT","OH","US","ASR",1,"24",""
"2026/05/14","CMI","AIRPORT","IL","US","ASR",1,"0800-2000","(RADAR_TYPE) PRACTICE."
"2026/05/14","COF","AIRPORT","FL","US","ASR",1,"0700-2300 MON-FRI; 0900-2300 SAT & SUN",""
"2026/05/14","COS","AIRPORT","CO","US","ASR",1,"24",""
"2026/05/14","COU","AIRPORT","MO","US","ASR",1,"24",""
"2026/05/14","CPR","AIRPORT","WY","US","ASR",1,"0500-2100",""
"2026/05/14","CRP","AIRPORT","TX","US","ASR",2,"24",""
"2026/05/14","CRW","AIRPORT","WV","US","ASR",1,"24",""
"2026/05/14","CSG","AIRPORT","GA","US","ASR",1,"APCH/DEP CONTROL AT TRACON A80.",""
"2026/05/14","CVG","AIRPORT","KY","US","ASR",1,"24",""
"2026/05/14","CVS","AIRPORT","NM","US","ASR",1,"SAME AS ATCT HRS","(RADAR_TYPE) DASR NO-NOTAM MP MON-FRI 0900-1330Z++."
"2026/05/14","CYS","AIRPORT","WY","US","ASR",1,"ASR 0800-1300 MON-THU, EXC FED HOLS.",""
"2026/05/14","CYS","AIRPORT","WY","US","PAR",2,"PAR 0800-1300 MON-THU, EXC FED HOLS.",""
"2026/05/14","D10","TRACON","TX","US","ASR",1,"24","(RADAR_TYPE) ASR-9 SERVES AS ADDNL ASR FOR DALLAS/FORT WORTH INTL AND ALSO SERVES DALLAS LOVE FIELD."
"2026/05/14","D10","TRACON","TX","US","ASR",2,"24",""
"2026/05/14","DAA","AIRPORT","VA","US","ASR",1,"0700-1900 WKDAY; EXCP HOL. 2 HR PPR OTR TIMES.",""
"2026/05/14","DAA","AIRPORT","VA","US","PAR",2,"0700-1900 WKDAY; EXCP HOL. 2 HR PPR OTR TIMES.",""
"2026/05/14","DAB","AIRPORT","FL","US","ASR",1,"24",""
"2026/05/14","DAY","AIRPORT","OH","US","ASR",1,"24",""
"2026/05/14","DCA","AIRPORT","DC","US","ASR",1,"24",""
"2026/05/14","DEN","AIRPORT","CO","US","ASR",1,"24",""
"2026/05/14","DFW","AIRPORT","TX","US","ASR",2,"24","(RADAR_TYPE) ASR-9 SERVES AS ADDNL ASR FOR DALLAS/FORT WORTH INTL AND ALSO SERVES DALLAS LOVE FIELD."
"2026/05/14","DLF","AIRPORT","TX","US","ASR",1,"24","(RADAR_TYPE) DASR NO-NOTAM MP: 0600-1200Z MON-FRI."
"2026/05/14","DLH","AIRPORT","MN","US","ASR",1,"24",""
"2026/05/14","DMA","AIRPORT","AZ","US","ASR",1,"24",""
"2026/05/14","DMA","AIRPORT","AZ","US","PAR",2,"24",""
"2026/05/14","DOV","AIRPORT","DE","US","ASR",1,"24","(RADAR_TYPE) NO-NOTAM MP:  0500-1100Z++MON-FRI (1000/3+1)."
"2026/05/14","DPA","AIRPORT","IL","US","ASR",1,"24",""
"2026/05/14","DSM","AIRPORT","IA","US","ASR",1,"24",""
"2026/05/14","DTW","AIRPORT","MI","US","ASR",1,"24",""
"2026/05/14","DYS","AIRPORT","TX","US","ASR",1,"24",""
"2026/05/14","EDF","AIRPORT","AK","US","ASR",1,"24",""
"2026/05/14","EDF","AIRPORT","AK","US","PAR",2,"24",""
"2026/05/14","EDW","AIRPORT","CA","US","ASR",2,"24",""
"2026/05/14","ELM","AIRPORT","NY","US","ASR",1,"24",""
"2026/05/14","ELP","AIRPORT","TX","US","ASR",1,"24",""
"2026/05/14","END","AIRPORT","OK","US","ASR",1,"0700-1900 MON-FRI; 1300-1700 SUN. EXCEPT HOLS.","(RADAR_TYPE) MP 1000-1230Z++ MON-FRI, 1400-2200Z++ SAT, 1400-1800Z++ SUN."
"2026/05/14","ERI","AIRPORT","PA","US","ASR",1,"0600-0000",""
"2026/05/14","EUG","AIRPORT","OR","US","ASR",1,"0600-2330",""
"2026/05/14","EVV","AIRPORT","IN","US","ASR",1,"0600-2300",""
"2026/05/14","EWR","AIRPORT","NJ","US","ASR",1,"24",""
"2026/05/14","FAI","AIRPORT","AK","US","ASR",1,"24",""
"2026/05/14","FAR","AIRPORT","ND","US","ASR",2,"24",""
"2026/05/14","FAT","AIRPORT","CA","US","ASR",2,"24",""
"2026/05/14","FAY","AIRPORT","NC","US","ASR",1,"0600-2400",""
"2026/05/14","FBG","AIRPORT","NC","US","ASR",1,"1300-0500Z++ MON-SAT, CLSD HOL, OT BY NOTAM.",""
"2026/05/14","FBK","AIRPORT","AK","US","ASR",1,"0700-1500.",""
"2026/05/14","FBK","AIRPORT","AK","US","PAR",2,"0700-1500.",""
"2026/05/14","FFO","AIRPORT","OH","US","ASR",1,"24",""
"2026/05/14","FL34","AIRPORT","FL","US","ASR",2,"24",""
"2026/05/14","FLL","AIRPORT","FL","US","ASR",1,"24",""
"2026/05/14","FMH","AIRPORT","MA","US","ASR",1,"24",""
"2026/05/14","FNT","AIRPORT","MI","US","ASR",1,"0545-2330",""
"2026/05/14","FRI","AIRPORT","KS","US","ASR",1,"OPR 1400- 0700Z++ MON-FRI ; 1400-2200Z++FRI EXC HOL.",""
"2026/05/14","FSD","AIRPORT","SD","US","ASR",2,"0500-2300",""
"2026/05/14","FSI","AIRPORT","OK","US","ASR",1,"24",""
"2026/05/14","FSM","AIRPORT","AR","US","ASR",1,"24",""
"2026/05/14","FWA","AIRPORT","IN","US","ASR",1,"24",""
"2026/05/14","FYV","AIRPORT","AR","US","ASR",1,"0600-2200",""
"2026/05/14","GEG","AIRPORT","WA","US","ASR",1,"24",""
"2026/05/14","GGG","AIRPORT","TX","US","ASR",1,"0600-2200",""
"2026/05/14","GPT","AIRPORT","MS","US","ASR",1,"0600-2300",""
"2026/05/14","GRB","AIRPORT","WI","US","ASR",1,"0530-1130",""
"2026/05/14","GRF","AIRPORT","WA","US","ASR",1,"0600-2200",""
"2026/05/14","GRK","AIRPORT","TX","US","ASR",2,"24",""
"2026/05/14","GRK","AIRPORT","TX","US","PAR",3,"24",""
"2026/05/14","GRR","AIRPORT","MI","US","ASR",1,"0530-0000",""
"2026/05/14","GSB","AIRPORT","NC","US","ASR",1,"1200-0400Z++.  DIGITAL ASR NO-NOTAM MP 0500-1030Z++ MON-FRI.",""
"2026/05/14","GSO","AIRPORT","NC","US","ASR",1,"24",""
"2026/05/14","GSP","AIRPORT","SC","US","ASR",2,"0600-2345",""
"2026/05/14","GTB","AIRPORT","NY","US","PAR",1,"24",""
"2026/05/14","GTB","AIRPORT","NY","US","ASR",2,"24",""
"2026/05/14","GTF","AIRPORT","MT","US","ASR",1,"24",""
"2026/05/14","GUM","AIRPORT","GU","US","ASR",1,"UNK",""
"2026/05/14","GUS","AIRPORT","IN","US","ASR",2,"NO-NOTAM MP 1200-1400Z++ MON.  ASR APCH SVC 1200-0400Z++ DLY.",""
"2026/05/14","GVT","AIRPORT","TX","US","ASR",1,"0730-1600",""
"2026/05/14","GXY","AIRPORT","CO","US","ASR",1,"24",""
"2026/05/14","HEY","AIRPORT","AL","US","PAR",1,"OPR 1130-0545Z++ OR TIL MISSION CMPLT, MON-FRI EXC HOL, OT CTC CAIRNS TWR.",""
"2026/05/14","HMN","AIRPORT","NM","US","ASR",1,"0800-2200",""
"2026/05/14","HNL","AIRPORT","HI","US","ASR",1,"24",""
"2026/05/14","HOP","AIRPORT","KY","US","PAR",2,"PAR UNAVBL 0400-1400Z++.",""
"2026/05/14","HOP","AIRPORT","KY","US","ASR",3,"0600-2200.  ILS RADAR SEE TERMINAL FLIP FOR RADAR MINIMA.",""
"2026/05/14","HOU","AIRPORT","TX","US","ASR",1,"24",""
"2026/05/14","HPN","AIRPORT","NY","US","ASR",1,"0600-2300",""
"2026/05/14","HRL","AIRPORT","TX","US","ASR",1,"0600-0000",""
"2026/05/14","HST","AIRPORT","FL","US","ASR",1,"0700-2300","(RADAR_HRS) NO-NOTAM MP: 1000-1400Z++ WED (1500/3+1)."
"2026/05/14","HSV","AIRPORT","AL","US","ASR",1,"0600-0000",""
"2026/05/14","HTS","AIRPORT","WV","US","ASR",1,"24",""
"2026/05/14","HUA","AIRPORT","AL","US","PAR",1,"0600-1900 MON-FRI EXCP HOLS; OTR TIMES PPR.",""
"2026/05/14","HUF","AIRPORT","IN","US","ASR",1,"24",""
"2026/05/14","I90","TRACON","TX","US","ASR",1,"24",""
"2026/05/14","I90","TRACON","TX","US","ASR",2,"24",""
"2026/05/14","I90","TRACON","TX","US","ASR",3,"24",""
"2026/05/14","I90","TRACON","TX","US","ASR",4,"24",""
"2026/05/14","IAD","AIRPORT","DC","US","ASR",1,"24",""
"2026/05/14","IAH","AIRPORT","TX","US","ASR",1,"24",""
"2026/05/14","ICT","AIRPORT","KS","US","ASR",1,"24",""
"2026/05/14","ILM","AIRPORT","NC","US","ASR",1,"24",""
"2026/05/14","ILN","AIRPORT","OH","US","ASR",1,"24",""
"2026/05/14","IND","AIRPORT","IN","US","ASR",1,"24",""
"2026/05/14","ISP","AIRPORT","NY","US","ASR",1,"0600-0000",""
"2026/05/14","ITO","AIRPORT","HI","US","ASR",1,"0600-2200",""
"2026/05/14","IWA","AIRPORT","AZ","US","ASR",1,"0600-2200",""
"2026/05/14","JAN","AIRPORT","MS","US","ASR",1,"0600-2300",""
"2026/05/14","JAX","AIRPORT","FL","US","ASR",1,"24",""
"2026/05/14","JFK","AIRPORT","NY","US","ASR",1,"24",""
"2026/05/14","JRF","AIRPORT","HI","US","ASR",1,"1000-1800.","(RADAR_TYPE) GCA OTS INDEFLY."
"2026/05/14","JRF","AIRPORT","HI","US","PAR",2,"1000-1800.","(RADAR_TYPE) GCA OTS INDEFLY."
"2026/05/14","KWA","AIRPORT","","MH","BCN",1,"MON 1200-2000, TUE-SAT 0545-2130",""
"2026/05/14","LAN","AIRPORT","MI","US","ASR",1,"24",""
"2026/05/14","LAS","AIRPORT","NV","US","ASR",1,"24",""
"2026/05/14","LAX","AIRPORT","CA","US","ASR",2,"24",""
"2026/05/14","LCH","AIRPORT","LA","US","ASR",1,"0600-2200",""
"2026/05/14","LEX","AIRPORT","KY","US","ASR",1,"24",""
"2026/05/14","LFI","AIRPORT","VA","US","ASR",1,"24",""
"2026/05/14","LFT","AIRPORT","LA","US","ASR",1,"0530-2230",""
"2026/05/14","LGB","AIRPORT","CA","US","ASR",1,"24",""
"2026/05/14","LIH","AIRPORT","HI","US","ASR",1,"24",""
"2026/05/14","LIT","AIRPORT","AR","US","ASR",1,"24",""
"2026/05/14","LMT","AIRPORT","OR","US","ASR",1,"24",""
"2026/05/14","LNK","AIRPORT","NE","US","ASR",1,"0530-0000",""
"2026/05/14","LRF","AIRPORT","AR","US","ASR",1,"1400-2200Z++ MON-FRI, CLSD WKENDS & HOLS.",""
"2026/05/14","LSV","AIRPORT","NV","US","ASR",1,"24","(RADAR_TYPE) ILS/RADAR: TOLICHA PEAK RADAR - NO-NOTAM MP: ASR FIRST FULL WEEK OF EVERY MONTH.  "
"2026/05/14","LSV","AIRPORT","NV","US","ASR",3,"NELLIS ASR NO-NOTAM MP 0700-1100Z++ MON-FRI.","(RADAR_TYPE) ILS/RADAR: TOLICHA PEAK RADAR - NO-NOTAM MP: ASR FIRST FULL WEEK OF EVERY MONTH.  "
"2026/05/14","LTS","AIRPORT","OK","US","ASR",1,"ASR OPRS 0730-0130 MON-FRI EXCP HOL.",""
"2026/05/14","LTS","AIRPORT","OK","US","PAR",2,"PAR OPRS 1000-0000 MON-FRI EXCP HOL.",""
"2026/05/14","LUF","AIRPORT","AZ","US","ASR",1,"OPR MON-THU 1330Z-0530Z, FRI 1330Z-0130Z, CLSD WEEKENDS, HOL, AND AETC FAMILY DAYS.  NO NOTAM MP: ASR (DIGITAL) 0600-1330Z WEEKDAY.",""
"2026/05/14","LUF","AIRPORT","AZ","US","PAR",2,"OPR MON-THU 1330Z-0530Z, FRI 1330Z-0130Z, CLSD WEEKENDS, HOL, AND AETC FAMILY DAYS.",""
"2026/05/14","LYH","AIRPORT","VA","US","ASR",1,"24",""
"2026/05/14","MAF","AIRPORT","TX","US","ASR",1,"0600-0000",""
"2026/05/14","MBS","AIRPORT","MI","US","ASR",1,"0600-2300",""
"2026/05/14","MCC","AIRPORT","CA","US","ASR",1,"24",""
"2026/05/14","MCI","AIRPORT","MO","US","ASR",1,"24",""
"2026/05/14","MCO","AIRPORT","FL","US","ASR",1,"24",""
"2026/05/14","MDT","AIRPORT","PA","US","ASR",1,"24",""
"2026/05/14","MEI","AIRPORT","MS","US","ASR",1,"0900-1700 MON-FRI EXCP HOLS.",""
"2026/05/14","MEI","AIRPORT","MS","US","PAR",2,"0900-1700 MON-FRI EXCP HOLS.",""
"2026/05/14","MEM","AIRPORT","TN","US","ASR",1,"24",""
"2026/05/14","MFD","AIRPORT","OH","US","ASR",1,"0600-2300",""
"2026/05/14","MFR","AIRPORT","OR","US","ASR",1,"0600-2300",""
"2026/05/14","MGE","AIRPORT","GA","US","ASR",1,"0700-2300.",""
"2026/05/14","MGM","AIRPORT","AL","US","ASR",1,"0600-2300",""
