fromPointKind,toPointKind,containsBoundaryPoint,anyGapActive,doglegActive,airwayPrefix,awyLocation,rowCount,airwayCount,airwayPathCount,sampleAirwayKeys,sampleFromPointKeys,sampleToPointKeys,sampleSourceRowIds
BOUNDARY_POINT,BOUNDARY_POINT,true,false,false,J,A,1,1,1,AIRWAY:J507,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-3,2066
BOUNDARY_POINT,BOUNDARY_POINT,true,false,false,J,C,6,6,6,AIRWAY:J126|AIRWAY:J5|AIRWAY:J501|AIRWAY:J523|AIRWAY:J554|AIRWAY:J70,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3,1058|1983|2029|2124|2183|2441
BOUNDARY_POINT,BOUNDARY_POINT,true,false,false,Q,A,3,2,2,AIRWAY:Q801|AIRWAY:Q902,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-4|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-5|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,4793|5054|5044
BOUNDARY_POINT,BOUNDARY_POINT,true,false,false,Q,C,16,14,14,AIRWAY:Q140|AIRWAY:Q186|AIRWAY:Q190|AIRWAY:Q436|AIRWAY:Q438|AIRWAY:Q440|AIRWAY:Q812|AIRWAY:Q816|AIRWAY:Q818|AIRWAY:Q822,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-4|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,3730|4009|4041|4360|4386|4425|4837|4852|4862|4885
BOUNDARY_POINT,BOUNDARY_POINT,true,false,false,T,C,9,7,7,AIRWAY:T608|AIRWAY:T675|AIRWAY:T739|AIRWAY:T765|AIRWAY:T776|AIRWAY:T781|AIRWAY:T810,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-4|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-4|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-5|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:BOUNDARY:U.S._CANADIAN_BORDER-5|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3,9334|9408|9464|9483|9489|9502|9507|9518|9530
BOUNDARY_POINT,BOUNDARY_POINT,true,false,false,V,C,1,1,1,AIRWAY:V300,POINT:BOUNDARY:U.S._CANADIAN_BORDER-3,POINT:BOUNDARY:U.S._CANADIAN_BORDER-12,14212
BOUNDARY_POINT,FIX,true,false,false,J,A,1,1,1,AIRWAY:J507,POINT:BOUNDARY:U.S._CANADIAN_BORDER-3,POINT:FIX:CFZMR:PA,2067
BOUNDARY_POINT,FIX,true,false,false,J,C,17,17,17,AIRWAY:J1|AIRWAY:J126|AIRWAY:J13|AIRWAY:J21|AIRWAY:J22|AIRWAY:J25|AIRWAY:J26|AIRWAY:J29|AIRWAY:J42|AIRWAY:J5,POINT:BOUNDARY:U.S._MEXICAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:BOUNDARY:U.S._MEXICAN_BORDER-2|POINT:BOUNDARY:U.S._MEXICAN_BORDER-2|POINT:BOUNDARY:U.S._MEXICAN_BORDER-3|POINT:BOUNDARY:U.S._MEXICAN_BORDER-1|POINT:BOUNDARY:U.S._MEXICAN_BORDER-3|POINT:BOUNDARY:U.S._MEXICAN_BORDER-2|POINT:BOUNDARY:U.S._MEXICAN_BORDER-3|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3,POINT:FIX:TEYON:K2|POINT:FIX:CFQLS:K1|POINT:FIX:BECON:K2|POINT:FIX:TTXOX:K4|POINT:FIX:CFDNC:K4|POINT:FIX:GROSZ:K4|POINT:FIX:FARCY:K4|POINT:FIX:DEVOE:K4|POINT:FIX:AMUKI:MM|POINT:FIX:CFJCC:K1,790|1059|1086|1570|1606|1690|1710|1738|1892|1984
BOUNDARY_POINT,FIX,true,false,false,Q,A,3,2,2,AIRWAY:Q801|AIRWAY:Q902,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-5|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,POINT:FIX:EEVER:PA|POINT:FIX:DISCO:K1|POINT:FIX:WOGUS:PA,4794|5055|5045
BOUNDARY_POINT,FIX,true,false,false,Q,C,22,20,20,AIRWAY:Q140|AIRWAY:Q186|AIRWAY:Q190|AIRWAY:Q436|AIRWAY:Q438|AIRWAY:Q440|AIRWAY:Q806|AIRWAY:Q812|AIRWAY:Q816|AIRWAY:Q818,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-4,POINT:FIX:RAGIX:K6|POINT:FIX:FOODO:K5|POINT:FIX:PRANI:K5|POINT:FIX:CFHHD:K6|POINT:FIX:CFKHS:K6|POINT:FIX:CFKHS:K6|POINT:FIX:VINDI:K6|POINT:FIX:CFQHD:K6|POINT:FIX:CFQHD:K6|POINT:FIX:CFTBR:K6,3731|4010|4042|4361|4387|4426|4801|4838|4853|4863
BOUNDARY_POINT,FIX,true,false,false,T,A,2,2,2,AIRWAY:T266|AIRWAY:T719,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3,POINT:FIX:SPUTA:PA|POINT:FIX:EEVER:PA,6421|9454
BOUNDARY_POINT,FIX,true,false,false,T,C,15,10,10,AIRWAY:T634|AIRWAY:T645|AIRWAY:T662|AIRWAY:T675|AIRWAY:T698|AIRWAY:T739|AIRWAY:T765|AIRWAY:T776|AIRWAY:T781|AIRWAY:T810,POINT:BOUNDARY:U.S.CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-4|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-5|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,POINT:FIX:VIBRU:K6|POINT:FIX:EPSOP:K1|POINT:FIX:DEPRI:K6|POINT:FIX:NOJJE:K5|POINT:FIX:EBGIX:K6|POINT:FIX:KATEK:K6|POINT:FIX:KERVO:K6|POINT:FIX:ASIXX:K3|POINT:FIX:LCROS:K3|POINT:FIX:KAYCY:K5,9367|9396|9402|9409|9413|9459|9465|9484|9490|9499
BOUNDARY_POINT,FIX,true,false,false,V,A,3,3,3,AIRWAY:V309|AIRWAY:V317|AIRWAY:V440,POINT:BOUNDARY:U.S._CANADIAN_BORDER-4|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,POINT:FIX:WAZUR:PA|POINT:FIX:CFTBX:PA|POINT:FIX:MOCKA:CY,14291|14369|15872
BOUNDARY_POINT,FIX,true,false,false,V,C,7,7,7,AIRWAY:V163|AIRWAY:V280|AIRWAY:V300|AIRWAY:V359|AIRWAY:V625|AIRWAY:V70|AIRWAY:V81,POINT:BOUNDARY:U.S._MEXICAN_BORDER-2|POINT:BOUNDARY:U.S._MEXICAN_BORDER-3|POINT:BOUNDARY:U.S._CANADIAN_BORDER-12|POINT:BOUNDARY:U.S._MEXICAN_BORDER-3|POINT:BOUNDARY:U.S._MEXICAN_BORDER-1|POINT:BOUNDARY:U.S._MEXICAN_BORDER-4|POINT:BOUNDARY:U.S._MEXICAN_BORDER-2,POINT:FIX:GROSZ:K4|POINT:FIX:FARCY:K4|POINT:FIX:IILND:K5|POINT:FIX:CFDNC:K4|POINT:FIX:BITVE:K2|POINT:FIX:CFGFF:K4|POINT:FIX:CFHBX:K4,11238|13804|14213|14820|17819|18087|18455
BOUNDARY_POINT,NAVAID,true,false,false,V,C,2,2,2,AIRWAY:V21|AIRWAY:V387,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._MEXICAN_BORDER-1,POINT:NAVAID:YQL:VOR/DME:CA::LETHBRIDGE|POINT:NAVAID:REX:VOR/DME:MX::REYNOSA,12431|15100
FIX,BOUNDARY_POINT,true,false,false,J,A,2,2,2,AIRWAY:J167|AIRWAY:J536,POINT:FIX:POTAT:PA|POINT:FIX:CFCLG:PA,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,1368|2132
FIX,BOUNDARY_POINT,true,false,false,J,C,17,17,17,AIRWAY:J126|AIRWAY:J13|AIRWAY:J141|AIRWAY:J177|AIRWAY:J478|AIRWAY:J5|AIRWAY:J503|AIRWAY:J505|AIRWAY:J516|AIRWAY:J530,POINT:FIX:CFGFX:K1|POINT:FIX:CFNGJ:K1|POINT:FIX:WIPPO:K4|POINT:FIX:KANNA:K4|POINT:FIX:CFCKK:K1|POINT:FIX:CFDCT:K1|POINT:FIX:CFKNF:K1|POINT:FIX:CFRCR:K1|POINT:FIX:CFNGJ:K1|POINT:FIX:GGRBI:K1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-4|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:BOUNDARY:U.S._MEXICAN_BORDER-1|POINT:BOUNDARY:U.S._MEXICAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-4|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,1061|1100|1179|1405|1943|1986|2053|2059|2091|2129
FIX,BOUNDARY_POINT,true,false,false,Q,C,6,6,6,AIRWAY:Q824|AIRWAY:Q842|AIRWAY:Q844|AIRWAY:Q848|AIRWAY:Q905|AIRWAY:Q923,POINT:FIX:CFWBG:K5|POINT:FIX:CFXHJ:K1|POINT:FIX:VIBRU:K6|POINT:FIX:CFZJP:K5|POINT:FIX:CFJBZ:K5|POINT:FIX:CFNBB:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,4899|4932|4935|4939|5060|5093
FIX,BOUNDARY_POINT,true,false,false,T,C,1,1,1,AIRWAY:T616,POINT:FIX:CFTCS:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,9365
