procedureKey,procedureId,procedureType,sourceSegmentCount
PROCEDURE:DP:ACCRA5,ACCRA5,DP,1
PROCEDURE:DP:AGERS1,AGERS1,DP,43
PROCEDURE:DP:AKUNA9,AKUNA9,DP,5
PROCEDURE:DP:ALISS7,ALISS7,DP,6
PROCEDURE:DP:ALTNN2,ALTNN2,DP,22
PROCEDURE:DP:AMEEE1,AMEEE1,DP,31
PROCEDURE:DP:ARDIA7,ARDIA7,DP,1
PROCEDURE:DP:AZONE7,AZONE7,DP,1
PROCEDURE:DP:BANNG3,BANNG3,DP,7
PROCEDURE:DP:BARII3,BARII3,DP,8
PROCEDURE:DP:BARMY6,BARMY6,DP,17
PROCEDURE:DP:BAYLR6,BAYLR6,DP,1
PROCEDURE:DP:BAYPO2,BAYPO2,DP,23
PROCEDURE:DP:BEAVY7,BEAVY7,DP,2
PROCEDURE:DP:BERYY6,BERYY6,DP,3
PROCEDURE:DP:BETES-DP,BETES-DP,DP,11
PROCEDURE:DP:BEXGO5,BEXGO5,DP,9
PROCEDURE:DP:BIMMR3,BIMMR3,DP,8
PROCEDURE:DP:BINKY6,BINKY6,DP,1
PROCEDURE:DP:BLTWY7,BLTWY7,DP,7
PROCEDURE:DP:BLZZR6,BLZZR6,DP,20
PROCEDURE:DP:BNDTO6,BNDTO6,DP,14
PROCEDURE:DP:BNGOS4,BNGOS4,DP,12
PROCEDURE:DP:BNICE2,BNICE2,DP,25
PROCEDURE:DP:BOBZY6,BOBZY6,DP,1
PROCEDURE:DP:BROAK1,BROAK1,DP,1
PROCEDURE:DP:BRSTL1,BRSTL1,DP,1
PROCEDURE:DP:BUFTT1,BUFTT1,DP,3
PROCEDURE:DP:BUNZZ3,BUNZZ3,DP,8
PROCEDURE:DP:BWALL2,BWALL2,DP,7
PROCEDURE:DP:CAVVS5,CAVVS5,DP,9
PROCEDURE:DP:CCOBB3,CCOBB3,DP,1
PROCEDURE:DP:CHADM4,CHADM4,DP,8
PROCEDURE:DP:CHATY5,CHATY5,DP,5
PROCEDURE:DP:CHCLL6,CHCLL6,DP,5
PROCEDURE:DP:CHLDR5,CHLDR5,DP,3
PROCEDURE:DP:CHUUC6,CHUUC6,DP,2
PROCEDURE:DP:CLTCH3,CLTCH3,DP,32
PROCEDURE:DP:CLVIN3,CLVIN3,DP,12
PROCEDURE:DP:CNDEL5,CNDEL5,DP,1
PROCEDURE:DP:CONLE5,CONLE5,DP,31
PROCEDURE:DP:COULT7,COULT7,DP,13
PROCEDURE:DP:CROSB2,CROSB2,DP,16
PROCEDURE:DP:CROWD8,CROWD8,DP,3
PROCEDURE:DP:CRSON7,CRSON7,DP,5
PROCEDURE:DP:CSHEL8,CSHEL8,DP,58
PROCEDURE:DP:CURLO6,CURLO6,DP,1
PROCEDURE:DP:CUTTN2,CUTTN2,DP,2
PROCEDURE:DP:CWARD2,CWARD2,DP,253
PROCEDURE:DP:DANLS4,DANLS4,DP,6
PROCEDURE:DP:DARTZ9,DARTZ9,DP,2
PROCEDURE:DP:DAWNN1,DAWNN1,DP,1
PROCEDURE:DP:DDANY3,DDANY3,DP,4
PROCEDURE:DP:DEEZZ6,DEEZZ6,DP,4
PROCEDURE:DP:DOCTR5,DOCTR5,DP,19
PROCEDURE:DP:DORMR3,DORMR3,DP,10
PROCEDURE:DP:DORRL2,DORRL2,DP,1
PROCEDURE:DP:DOTSS2,DOTSS2,DP,2
PROCEDURE:DP:DRUSE5,DRUSE5,DP,4
PROCEDURE:DP:DUKPN1,DUKPN1,DP,37
PROCEDURE:DP:ECLPS1,ECLPS1,DP,4
PROCEDURE:DP:EEVAA1,EEVAA1,DP,1
PROCEDURE:DP:ELOCO6,ELOCO6,DP,38
PROCEDURE:DP:EMMTT4,EMMTT4,DP,4
PROCEDURE:DP:ENDED2,ENDED2,DP,16
PROCEDURE:DP:ESNYE7,ESNYE7,DP,3
PROCEDURE:DP:ESTRR6,ESTRR6,DP,11
PROCEDURE:DP:EXBOX2,EXBOX2,DP,1
PROCEDURE:DP:FATHE4,FATHE4,DP,25
PROCEDURE:DP:FEALX2,FEALX2,DP,41
PROCEDURE:DP:FLAME4,FLAME4,DP,6
PROCEDURE:DP:FLL2,FLL2,DP,1
PROCEDURE:DP:FLMGO2,FLMGO2,DP,15
PROCEDURE:DP:FOLZZ3,FOLZZ3,DP,41
PROCEDURE:DP:FORCK3,FORCK3,DP,8
PROCEDURE:DP:FORPE1,FORPE1,DP,4
PROCEDURE:DP:FOXHL1,FOXHL1,DP,33
PROCEDURE:DP:FRSBE2,FRSBE2,DP,14
PROCEDURE:DP:FYSTA3,FYSTA3,DP,1
PROCEDURE:DP:GAIRY2,GAIRY2,DP,1
PROCEDURE:DP:GANDY8,GANDY8,DP,12
PROCEDURE:DP:GATWY1,GATWY1,DP,5
PROCEDURE:DP:GDOGG4,GDOGG4,DP,2
PROCEDURE:DP:GLADZ4,GLADZ4,DP,8
PROCEDURE:DP:GOETZ7,GOETZ7,DP,4
PROCEDURE:DP:GOPUP-DP,GOPUP-DP,DP,1
PROCEDURE:DP:GTLKE5,GTLKE5,DP,10
PROCEDURE:DP:GUMBY3,GUMBY3,DP,40
PROCEDURE:DP:HAALO3,HAALO3,DP,3
PROCEDURE:DP:HHOWE4,HHOWE4,DP,9
PROCEDURE:DP:HIDEY1,HIDEY1,DP,2
PROCEDURE:DP:HOLND1,HOLND1,DP,9
PROCEDURE:DP:HOOKZ5,HOOKZ5,DP,6
PROCEDURE:DP:HORTO4,HORTO4,DP,30
PROCEDURE:DP:HROCK2,HROCK2,DP,17
PROCEDURE:DP:HRPER3,HRPER3,DP,3
PROCEDURE:DP:HSKEL3,HSKEL3,DP,12
PROCEDURE:DP:HURCN4,HURCN4,DP,21
PROCEDURE:DP:HURIC4,HURIC4,DP,8
PROCEDURE:DP:HYLND7,HYLND7,DP,25
PROCEDURE:DP:ICONS6,ICONS6,DP,11
PROCEDURE:DP:ILEXY4,ILEXY4,DP,18
PROCEDURE:DP:INDIE8,INDIE8,DP,30
PROCEDURE:DP:JACCC2,JACCC2,DP,4
PROCEDURE:DP:JAHNY6,JAHNY6,DP,1
PROCEDURE:DP:JASPA7,JASPA7,DP,1
PROCEDURE:DP:JCOBY4,JCOBY4,DP,32
PROCEDURE:DP:JDUBB4,JDUBB4,DP,27
PROCEDURE:DP:JEANY1,JEANY1,DP,7
PROCEDURE:DP:JEEMY4,JEEMY4,DP,7
PROCEDURE:DP:JERES2,JERES2,DP,16
PROCEDURE:DP:JETIN2,JETIN2,DP,4
PROCEDURE:DP:JHART7,JHART7,DP,4
PROCEDURE:DP:JOJJO6,JOJJO6,DP,4
PROCEDURE:DP:JPOOL8,JPOOL8,DP,2
PROCEDURE:DP:KAJIN2,KAJIN2,DP,5
PROCEDURE:DP:KALLI7,KALLI7,DP,38
PROCEDURE:DP:KAYLN3,KAYLN3,DP,3
PROCEDURE:DP:KEENS3,KEENS3,DP,3
PROCEDURE:DP:KENLN6,KENLN6,DP,1
PROCEDURE:DP:KEPTA-DP,KEPTA-DP,DP,2
PROCEDURE:DP:KILNS6,KILNS6,DP,5
PROCEDURE:DP:KKIDS1,KKIDS1,DP,4
PROCEDURE:DP:KRITR7,KRITR7,DP,12
PROCEDURE:DP:KRSTA4,KRSTA4,DP,9
PROCEDURE:DP:KSHEE5,KSHEE5,DP,2
PROCEDURE:DP:LAKES5,LAKES5,DP,7
PROCEDURE:DP:LAXX1,LAXX1,DP,62
PROCEDURE:DP:LCH5,LCH5,DP,2
PROCEDURE:DP:LEINY6,LEINY6,DP,2
PROCEDURE:DP:LGRHD3,LGRHD3,DP,13
PROCEDURE:DP:LIDDS4,LIDDS4,DP,10
PROCEDURE:DP:LINSE2,LINSE2,DP,30
PROCEDURE:DP:LNDRE5,LNDRE5,DP,14
PROCEDURE:DP:LOA4,LOA4,DP,6
PROCEDURE:DP:LOKRD1,LOKRD1,DP,5
PROCEDURE:DP:LOWGN8,LOWGN8,DP,1
PROCEDURE:DP:LUCYL6,LUCYL6,DP,13
PROCEDURE:DP:LURIC8,LURIC8,DP,8
PROCEDURE:DP:LWOOD5,LWOOD5,DP,8
PROCEDURE:DP:MCRAY2,MCRAY2,DP,14
PROCEDURE:DP:MIGGY3,MIGGY3,DP,2
PROCEDURE:DP:MIXUT-DP,MIXUT-DP,DP,1
PROCEDURE:DP:MLTRE3,MLTRE3,DP,3
PROCEDURE:DP:MMUGS4,MMUGS4,DP,40
PROCEDURE:DP:MNZNO3,MNZNO3,DP,2
PROCEDURE:DP:MRBIL1,MRBIL1,DP,2
PROCEDURE:DP:MRSSH3,MRSSH3,DP,9
PROCEDURE:DP:MYZNR3,MYZNR3,DP,1
PROCEDURE:DP:MZULO3,MZULO3,DP,24
PROCEDURE:DP:NATCA5,NATCA5,DP,1
PROCEDURE:DP:NEVUE3,NEVUE3,DP,1
PROCEDURE:DP:NIITZ4,NIITZ4,DP,2
PROCEDURE:DP:NUBLE4,NUBLE4,DP,22
PROCEDURE:DP:NUTIY1,NUTIY1,DP,45
PROCEDURE:DP:NYTES2,NYTES2,DP,56
PROCEDURE:DP:OLAKE3,OLAKE3,DP,11
PROCEDURE:DP:ORSKY3,ORSKY3,DP,2
PROCEDURE:DP:OSPRY1,OSPRY1,DP,6
PROCEDURE:DP:OXFRD5,OXFRD5,DP,9
PROCEDURE:DP:PADGT2,PADGT2,DP,6
PROCEDURE:DP:PARDN4,PARDN4,DP,3
PROCEDURE:DP:PATSS7,PATSS7,DP,17
PROCEDURE:DP:PAVYL3,PAVYL3,DP,5
PROCEDURE:DP:PENCL2,PENCL2,DP,1
PROCEDURE:DP:PFLYD1,PFLYD1,DP,4
PROCEDURE:DP:PHIIL3,PHIIL3,DP,4
PROCEDURE:DP:PIEPE6,PIEPE6,DP,10
PROCEDURE:DP:PITZZ5,PITZZ5,DP,14
PROCEDURE:DP:PLESS5,PLESS5,DP,2
PROCEDURE:DP:PLMMR3,PLMMR3,DP,9
PROCEDURE:DP:PLMTO3,PLMTO3,DP,3
PROCEDURE:DP:POUNC2,POUNC2,DP,1
PROCEDURE:DP:PPORT4,PPORT4,DP,24
PROCEDURE:DP:QUAKY1,QUAKY1,DP,1
PROCEDURE:DP:RACER8,RACER8,DP,1
PROCEDURE:DP:RAJEE4,RAJEE4,DP,1
PROCEDURE:DP:RAMBL6,RAMBL6,DP,1
PROCEDURE:DP:RDSOX1,RDSOX1,DP,14
PROCEDURE:DP:REBLL5,REBLL5,DP,26
PROCEDURE:DP:RETYR8,RETYR8,DP,14
PROCEDURE:DP:REVSS6,REVSS6,DP,4
PROCEDURE:DP:RNLDI4,RNLDI4,DP,25
PROCEDURE:DP:ROCKT4,ROCKT4,DP,1
PROCEDURE:DP:ROYAL2,ROYAL2,DP,6
PROCEDURE:DP:ROYES7,ROYES7,DP,1
PROCEDURE:DP:ROZBO5,ROZBO5,DP,11
PROCEDURE:DP:RST1,RST1,DP,13
PROCEDURE:DP:RUGGD3,RUGGD3,DP,1
PROCEDURE:DP:SABTH2,SABTH2,DP,2
PROCEDURE:DP:SCHEP1,SCHEP1,DP,3
PROCEDURE:DP:SCRAM6,SCRAM6,DP,25
PROCEDURE:DP:SCTWN4,SCTWN4,DP,1
PROCEDURE:DP:SHPRD4,SHPRD4,DP,22
PROCEDURE:DP:SILKS6,SILKS6,DP,4
PROCEDURE:DP:SLAPP2,SLAPP2,DP,1
PROCEDURE:DP:SLI8,SLI8,DP,87
PROCEDURE:DP:SLIDZ3,SLIDZ3,DP,42
PROCEDURE:DP:SMLTZ3,SMLTZ3,DP,7
PROCEDURE:DP:SNDLR3,SNDLR3,DP,2
PROCEDURE:DP:SNDRS3,SNDRS3,DP,6
PROCEDURE:DP:SNIDR2,SNIDR2,DP,29
PROCEDURE:DP:SOOKI6,SOOKI6,DP,21
PROCEDURE:DP:SPILR1,SPILR1,DP,1
PROCEDURE:DP:SPTNS1,SPTNS1,DP,1
PROCEDURE:DP:SSOXS7,SSOXS7,DP,35
PROCEDURE:DP:STAYY4,STAYY4,DP,1
PROCEDURE:DP:STRRM1,STRRM1,DP,2
PROCEDURE:DP:STRYA8,STRYA8,DP,4
PROCEDURE:DP:STUNO1,STUNO1,DP,5
PROCEDURE:DP:STYCK8,STYCK8,DP,31
PROCEDURE:DP:SUDDZ1,SUDDZ1,DP,1
PROCEDURE:DP:SUMMA2,SUMMA2,DP,1
PROCEDURE:DP:SWOPE1,SWOPE1,DP,9
PROCEDURE:DP:SWPFX3,SWPFX3,DP,8
PROCEDURE:DP:SWTSR7,SWTSR7,DP,1
PROCEDURE:DP:TAFOY3,TAFOY3,DP,1
PROCEDURE:DP:TAZMO4,TAZMO4,DP,5
PROCEDURE:DP:TBIRD7,TBIRD7,DP,44
PROCEDURE:DP:TERPZ8,TERPZ8,DP,34
PROCEDURE:DP:THUMB1,THUMB1,DP,26
PROCEDURE:DP:TIDES1,TIDES1,DP,29
PROCEDURE:DP:TIPPN4,TIPPN4,DP,2
PROCEDURE:DP:TOLLZ2,TOLLZ2,DP,55
PROCEDURE:DP:TRSHA1,TRSHA1,DP,7
PROCEDURE:DP:TRUKN2,TRUKN2,DP,1
PROCEDURE:DP:TRUPR3,TRUPR3,DP,3
PROCEDURE:DP:TRYTN4,TRYTN4,DP,9
PROCEDURE:DP:UECKR6,UECKR6,DP,8
PROCEDURE:DP:VARNM2,VARNM2,DP,3
PROCEDURE:DP:VTU8,VTU8,DP,13
PROCEDURE:DP:WEAZL6,WEAZL6,DP,5
PROCEDURE:DP:WELLY4,WELLY4,DP,1
PROCEDURE:DP:WHRLI7,WHRLI7,DP,2
PROCEDURE:DP:WLSTN7,WLSTN7,DP,2
PROCEDURE:DP:WOOLY2,WOOLY2,DP,28
PROCEDURE:DP:WYLSN8,WYLSN8,DP,4
PROCEDURE:DP:WYNGS5,WYNGS5,DP,8
PROCEDURE:DP:YODUH2,YODUH2,DP,13
PROCEDURE:DP:ZAAPA6,ZAAPA6,DP,9
PROCEDURE:DP:ZACHH4,ZACHH4,DP,7
PROCEDURE:DP:ZIONZ1,ZIONZ1,DP,2
PROCEDURE:DP:ZMBRO7,ZMBRO7,DP,9
PROCEDURE:DP:ZZOOO4,ZZOOO4,DP,1
PROCEDURE:STAR:AALLE4,AALLE4,STAR,12
PROCEDURE:STAR:AARCH2,AARCH2,STAR,10
PROCEDURE:STAR:AAVON1,AAVON1,STAR,1
PROCEDURE:STAR:ALDAN4,ALDAN4,STAR,10
PROCEDURE:STAR:ALYNA4,ALYNA4,STAR,38
PROCEDURE:STAR:AMYLU3,AMYLU3,STAR,15
PROCEDURE:STAR:ANJLL4,ANJLL4,STAR,2
PROCEDURE:STAR:ANTHM5,ANTHM5,STAR,8
PROCEDURE:STAR:APPLE3,APPLE3,STAR,3
PROCEDURE:STAR:AWDAD1,AWDAD1,STAR,10
PROCEDURE:STAR:BACHR4,BACHR4,STAR,5
PROCEDURE:STAR:BAGGY3,BAGGY3,STAR,3
PROCEDURE:STAR:BANGZ2,BANGZ2,STAR,6
PROCEDURE:STAR:BANKR6,BANKR6,STAR,6
PROCEDURE:STAR:BAYYY5,BAYYY5,STAR,23
PROCEDURE:STAR:BDEGA4,BDEGA4,STAR,7
PROCEDURE:STAR:BEAHR3,BEAHR3,STAR,1
PROCEDURE:STAR:BEARR5,BEARR5,STAR,2
PROCEDURE:STAR:BELLR6,BELLR6,STAR,3
PROCEDURE:STAR:BENKY6,BENKY6,STAR,6
PROCEDURE:STAR:BEREE3,BEREE3,STAR,28
PROCEDURE:STAR:BHHIA3,BHHIA3,STAR,2
PROCEDURE:STAR:BITHO7,BITHO7,STAR,5
PROCEDURE:STAR:BLFRG3,BLFRG3,STAR,14
PROCEDURE:STAR:BLOGS3,BLOGS3,STAR,3
PROCEDURE:STAR:BLUEM5,BLUEM5,STAR,7
PROCEDURE:STAR:BLUZZ5,BLUZZ5,STAR,22
PROCEDURE:STAR:BNFSH3,BNFSH3,STAR,27
PROCEDURE:STAR:BOJID4,BOJID4,STAR,8
PROCEDURE:STAR:BONJO3,BONJO3,STAR,1
PROCEDURE:STAR:BONZZ2,BONZZ2,STAR,18
PROCEDURE:STAR:BOOSH3,BOOSH3,STAR,14
PROCEDURE:STAR:BOOVE7,BOOVE7,STAR,5
PROCEDURE:STAR:BOUNO5,BOUNO5,STAR,25
PROCEDURE:STAR:BQS8,BQS8,STAR,2
PROCEDURE:STAR:BRAND1,BRAND1,STAR,4
PROCEDURE:STAR:BRBBQ3,BRBBQ3,STAR,7
PROCEDURE:STAR:BRDJE5,BRDJE5,STAR,27
PROCEDURE:STAR:BRIXX4,BRIXX4,STAR,2
PROCEDURE:STAR:BRWNZ4,BRWNZ4,STAR,19
PROCEDURE:STAR:BUNTS3,BUNTS3,STAR,1
PROCEDURE:STAR:CAMRN5,CAMRN5,STAR,34
PROCEDURE:STAR:CAPSS4,CAPSS4,STAR,31
PROCEDURE:STAR:CARTR1,CARTR1,STAR,7
PROCEDURE:STAR:CAVLR6,CAVLR6,STAR,29
PROCEDURE:STAR:CDOGG4,CDOGG4,STAR,18
PROCEDURE:STAR:CEGRM8,CEGRM8,STAR,2
PROCEDURE:STAR:CESAN4,CESAN4,STAR,5
PROCEDURE:STAR:CHINS5,CHINS5,STAR,3
PROCEDURE:STAR:CHOWW4,CHOWW4,STAR,5
PROCEDURE:STAR:CHPPR1,CHPPR1,STAR,10
PROCEDURE:STAR:CHSLY7,CHSLY7,STAR,27
PROCEDURE:STAR:CHSNE3,CHSNE3,STAR,4
PROCEDURE:STAR:CLASH5,CLASH5,STAR,15
PROCEDURE:STAR:CLIPR3,CLIPR3,STAR,11
PROCEDURE:STAR:CLMNT2,CLMNT2,STAR,43
PROCEDURE:STAR:CLPRR3,CLPRR3,STAR,7
PROCEDURE:STAR:COMIX2,COMIX2,STAR,3
PROCEDURE:STAR:CPTAN3,CPTAN3,STAR,61
PROCEDURE:STAR:CQY3,CQY3,STAR,8
PROCEDURE:STAR:CRAKN2,CRAKN2,STAR,8
